Sujeito,Fractal,LogPower,CSP_Fractal,CSP_LogPower,FBCSP_Fractal,FBCSP_LogPower
P01,0.6,0.6,0.56,0.4,0.56,0.64
P02,1.0,1.0,1.0,1.0,1.0,1.0
P03,0.5,0.5,0.5,1.0,0.5,0.5
P04,1.0,1.0,1.0,1.0,1.0,1.0
P05,0.9076923076923077,0.5230769230769231,0.5384615384615384,0.7384615384615385,0.7076923076923077,0.5692307692307692
P06,1.0,1.0,1.0,1.0,1.0,1.0
P07,0.5,0.5,1.0,1.0,0.5,1.0
P08,1.0,1.0,1.0,1.0,0.5,1.0
P09,1.0,1.0,1.0,0.5,1.0,1.0
Média,0.8341880341880342,0.7914529914529914,0.8442735042735043,0.8487179487179487,0.7519658119658119,0.8565811965811966
