Sujeito,Fractal,LogPower,CSP_Fractal,CSP_LogPower,FBCSP_Fractal,FBCSP_LogPower
P01,-0.03125,0.0,0.03125,0.140625,0.1875,0.046875
P02,0.8,1.0,0.19999999999999996,1.0,0.6,1.0
P03,0.4,0.19999999999999996,0.6,0.4,0.0,0.4
P04,1.0,0.8,0.8,1.0,1.0,1.0
P05,0.8231707317073171,0.09146341463414631,0.20731707317073167,0.6036585365853658,0.5365853658536586,0.3780487804878049
P06,0.8,0.6,0.6,0.6,1.0,0.6
P07,0.8,0.6,0.8,0.8,0.6,1.0
P08,0.6,1.0,1.0,1.0,0.4,0.8
P09,0.19999999999999996,0.8,0.8,0.4,0.4,0.8
Média,0.5991023035230353,0.5657181571815717,0.559840785907859,0.6604759485094852,0.5248983739837398,0.6694359756097561
